index,company_name,linkedin_job_url,baseline_s2_status,baseline_s2_reason,v189_s2_status,v189_s2_reason,website_url,identity_audit,selected_score,replay,elapsed_seconds
34,Brown and Caldwell,https://www.linkedin.com/jobs/view/project-manager-at-brown-and-caldwell-4433489743,failed,HTTP_FORBIDDEN,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,7.496
35,American Fabrication Inc.,https://www.linkedin.com/jobs/view/project-manager-at-american-fabrication-inc-4435856709,failed,HTTP_FORBIDDEN,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.912
36,System One,https://www.linkedin.com/jobs/view/project-manager-at-system-one-4434872384,success,,success,,https://www.systemone.com/,PASS,228,reproduced,4.999
37,Team Royal,https://www.linkedin.com/jobs/view/project-manager-at-team-royal-4437878290,failed,HTTP_FORBIDDEN,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,5.998
38,Rider Levett Bucknall RLB,https://www.linkedin.com/jobs/view/project-manager-at-rider-levett-bucknall-rlb-4403834520,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,3.681
39,Salas O'Brien,https://www.linkedin.com/jobs/view/project-manager-at-salas-o-brien-4193245312,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,4.807
40,Hays + Sons,https://www.linkedin.com/jobs/view/project-manager-%E2%80%93-bloomington%0Afull-time-at-hays-%2B-sons-4405588363,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.472
41,City of Sioux Falls,https://www.linkedin.com/jobs/view/talent-manager-at-city-of-sioux-falls-4435941256,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,8.004
42,WICHITA COMPANY LIMITED,https://www.linkedin.com/jobs/view/assistant-director-of-human-resources-at-wichita-company-limited-4441608516,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,3.809
43,City of College Station,https://www.linkedin.com/jobs/view/hr-operations-and-services-manager-at-city-of-college-station-4426127673,failed,FETCH_FAILED,failed,FETCH_FAILED,,NOT_APPLICABLE,,reproduced,6.65
44,Jushi Holdings Inc.,https://www.linkedin.com/jobs/view/human-resources-manager-at-jushi-holdings-inc-4422128904,failed,FETCH_FAILED,failed,HTTP_FORBIDDEN,,NOT_APPLICABLE,,reproduced,6.775
45,State of Montana,https://www.linkedin.com/jobs/view/human-resources-manager-at-state-of-montana-4439231755,failed,FETCH_FAILED,failed,HTTP_FORBIDDEN,,NOT_APPLICABLE,,reproduced,12.516
46,Ken Garff Automotive Group,https://www.linkedin.com/jobs/view/human-resources-manager-at-ken-garff-automotive-group-4423595647,failed,FETCH_FAILED,failed,HTTP_FORBIDDEN,,NOT_APPLICABLE,,reproduced,7.705
47,Systematic Business Consulting,https://www.linkedin.com/jobs/view/human-resources-manager-at-systematic-business-consulting-4440044707,failed,FETCH_FAILED,failed,HTTP_FORBIDDEN,,NOT_APPLICABLE,,reproduced,5.665
48,Heritage Companies,https://www.linkedin.com/jobs/view/corporate-human-resources-manager-at-heritage-companies-4440274758,failed,HTTP_FORBIDDEN,failed,HTTP_FORBIDDEN,,NOT_APPLICABLE,,reproduced,7.343
