company_name,job_title,job_location,linkedin_job_url,resolved_website_url,career_page_url,job_list_page_url,pipeline_opening_url,pipeline_status,primary_failure_stage,primary_failure_reason,all_failure_reasons,external_apply_observation,provider_search_reason,website_career_reason,manual_posting_status,manual_correct_website_url,manual_correct_career_url,manual_correct_job_list_url,manual_correct_opening_url,manual_disposition,manual_failure_route,manual_notes
hackajob,Registered Nurse Healthcare Advocate (Remote 1099) - RN,United States,https://www.linkedin.com/jobs/view/registered-nurse-healthcare-advocate-remote-1099-rn-at-hackajob-4431491227,https://hackajob.com/,https://hackajob.com/jobs,https://hackajob.com/en-us/jobs,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
West Oaks Hospital,"Nurse Manager -Registered Nurse (Full-Time) - Behavioral Health - $7,500 Sign-On Bonus","Houston, TX",https://www.linkedin.com/jobs/view/nurse-manager-registered-nurse-full-time-behavioral-health-%247-500-sign-on-bonus-at-west-oaks-hospital-4440824545,https://www.westoakshospital.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Tenet Healthcare,Registered Nurse (RN) - Ambulatory,"San Ramon, CA",https://www.linkedin.com/jobs/view/registered-nurse-rn-ambulatory-at-tenet-healthcare-4440577391,https://www.tenethealth.com,https://jobs.tenethealth.com/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Panacea Health Corp,Registered Nurse (RN) Unit Manager,"Chambersburg, PA",https://www.linkedin.com/jobs/view/registered-nurse-rn-unit-manager-at-panacea-health-corp-4439893528,https://panaceahealth.io/,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Horizon Health,Registered Nurse (RN)- Behavioral Health,"Murray, KY",https://www.linkedin.com/jobs/view/registered-nurse-rn-behavioral-health-at-horizon-health-4440822674,https://www.myhorizonhealth.org,https://www.myhorizonhealth.org/about/careers/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Tidelands Health,Registered Nurse (RN) - Staff/Med Surg,"Georgetown, SC",https://www.linkedin.com/jobs/view/registered-nurse-rn-staff-med-surg-at-tidelands-health-4440340861,https://www.tidelandshealth.org,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Riverview School,Registered Nurse - RN- School Nurse,"East Sandwich, MA",https://www.linkedin.com/jobs/view/registered-nurse-rn-school-nurse-at-riverview-school-4441636937,,,,,failed,website_resolution,WEBSITE_NOT_RESOLVED,website_resolution:WEBSITE_NOT_RESOLVED,no_visible_external_apply_link,candidate_not_produced,input_not_covered,,,,,,,,
Aveanna Healthcare,Registered Nurse (RN),"Southampton, PA",https://www.linkedin.com/jobs/view/registered-nurse-rn-at-aveanna-healthcare-4439431438,https://www.aveanna.com/,https://www.aveanna.com/accreditedhomecare-careers.html,https://jobs.aveanna.com/jobs/,,partial,opening_match,HTTP_FORBIDDEN,opening_match:HTTP_FORBIDDEN,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Elderwood,RN - Registered Nurse,"Ticonderoga, NY",https://www.linkedin.com/jobs/view/rn-registered-nurse-at-elderwood-4437294077,https://www.elderwood.com/,https://www.elderwoodcareers.com/,,,failed,result_validation,RESULT_IDENTITY_MISMATCH,result_validation:RESULT_IDENTITY_MISMATCH,fetch_failed,candidate_not_produced,relationship_not_verified,,,,,,,,
Southeastern Renal Dialysis,"Registered Nurse (RN) ($10,000 SIGN ON BONUS)","West Burlington, IA",https://www.linkedin.com/jobs/view/registered-nurse-rn-%2410-000-sign-on-bonus-at-southeastern-renal-dialysis-4440377324,https://srdlc.org,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
NexCare WellBridge Senior Living,Registered Nurse RN - $40.55 per hour,"Saginaw, MI",https://www.linkedin.com/jobs/view/registered-nurse-rn-%2440-55-per-hour-at-nexcare-wellbridge-senior-living-4440360762,https://www.nexcarehealth.com,https://www.nexcarehealth.com/careers-overview/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
PUMA Group,Account Executive (Remote - Midwest Chicago),"Aurora, CO",https://www.linkedin.com/jobs/view/account-executive-remote-midwest-chicago-at-puma-group-4400268406,https://about.puma.com/en,https://about.puma.com/en/careers/job-openings,https://about.puma.com/en/careers/job-openings,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
LinkedIn,"SMB Account Executive - Search & Staffing, Talent Solutions","New York, NY",https://www.linkedin.com/jobs/view/smb-account-executive-search-staffing-talent-solutions-at-linkedin-4441201517,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
LinkedIn,"Account Executive 3, Performance & Expansion, Marketing Solutions","New York, NY",https://www.linkedin.com/jobs/view/account-executive-3-performance-expansion-marketing-solutions-at-linkedin-4441269292,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
LinkedIn,Mid-Market Account Executive - Talent & Learning,"San Francisco, CA",https://www.linkedin.com/jobs/view/mid-market-account-executive-talent-learning-at-linkedin-4422966708,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
SKIMS,"Account Executive, Franchise Partnerships","Los Angeles, CA",https://www.linkedin.com/jobs/view/account-executive-franchise-partnerships-at-skims-4429787695,https://skims.com/en-sg,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
LinkedIn,SMB Account Executive - Talent & Learning,"San Francisco, CA",https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4422952933,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
Parfums Christian Dior,"Account Executive, Chicago","Chicago, IL",https://www.linkedin.com/jobs/view/account-executive-chicago-at-parfums-christian-dior-4428662758,https://www.dior.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Caudalie,Account Executive,"New York, NY",https://www.linkedin.com/jobs/view/account-executive-at-caudalie-4427354704,https://www.caudalie.com/,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
LinkedIn,"Manager, Talent Account Directors","Chicago, IL",https://www.linkedin.com/jobs/view/manager-talent-account-directors-at-linkedin-4440030712,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
Bacardi,National Account Manager - Hotels,"New York, NY",https://www.linkedin.com/jobs/view/national-account-manager-hotels-at-bacardi-4441657690,https://www.bacardi.com/,https://jobs.bacardilimited.com:443/,https://jobs.bacardilimited.com:443/job-search,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Square,SMB Account Executive,"New York, NY",https://www.linkedin.com/jobs/view/smb-account-executive-at-square-4430270488,https://squareup.com/us/en,https://careers.squareup.com/us/en,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
LinkedIn,"Account Executive, Growth Mid-Market - LinkedIn Marketing Solutions","New York, NY",https://www.linkedin.com/jobs/view/account-executive-growth-mid-market-linkedin-marketing-solutions-at-linkedin-4440026968,https://www.linkedin.com/,https://www.linkedin.com/top-content/career/,https://job-boards.greenhouse.io/linkedin,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,candidate_not_produced,,,,,,,,
Future Beauty Brands (formerly PPI Beauty),National Account Manager,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/national-account-manager-at-future-beauty-brands-formerly-ppi-beauty-4441236528,https://futurebeautybrands.com/,https://futurebeautybrands.com/pages/careers,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Meta,Product Design Engineer,"New York, NY",https://www.linkedin.com/jobs/view/product-design-engineer-at-meta-4434865612,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
"Yamaha Motor Corporation, USA",Mechanical Engineer I,"Kennesaw, GA",https://www.linkedin.com/jobs/view/mechanical-engineer-i-at-yamaha-motor-corporation-usa-4388242757,https://www.yamaha-motor.com,https://careers.yamaha-motor.com,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
OrganOx,Mechanical Design Engineer,"Madison, NJ",https://www.linkedin.com/jobs/view/mechanical-design-engineer-at-organox-4440989993,https://www.organox.com/,https://www.organox.com/careers,https://apply.workable.com/organox/,,partial,opening_match,PROVIDER_VARIANT_UNSUPPORTED,opening_match:PROVIDER_VARIANT_UNSUPPORTED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Design Engineer,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/product-design-engineer-at-meta-4433807917,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Tata Technologies,Mechanical Design Engineer,"Hayward, CA",https://www.linkedin.com/jobs/view/mechanical-design-engineer-at-tata-technologies-4438687607,https://www.tata.com/home-page,https://www.tata.com/careers/jobs,https://www.tata.com/careers/jobs/joblisting,,partial,opening_match,BOT_PROTECTION,opening_match:BOT_PROTECTION,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Tata Technologies,Mechanical Engineer,"Livonia, MI",https://www.linkedin.com/jobs/view/mechanical-engineer-at-tata-technologies-4410912130,https://www.tata.com/home-page,https://www.tata.com/careers/jobs,https://www.tata.com/careers/jobs/joblisting,,partial,opening_match,BOT_PROTECTION,opening_match:BOT_PROTECTION,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Design Engineer,"Redmond, WA",https://www.linkedin.com/jobs/view/product-design-engineer-at-meta-4431557512,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Snap Inc.,Product Design Engineer,"Los Angeles, CA",https://www.linkedin.com/jobs/view/product-design-engineer-at-snap-inc-4436142141,https://www.snap.com/,https://careers.snap.com/,https://careers.snap.com/jobs,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
"Bastion Technologies, Inc.",Mechanical Project Engineer,"Houston, TX",https://www.linkedin.com/jobs/view/mechanical-project-engineer-at-bastion-technologies-inc-4439478675,https://bastiontechnologies.com/,https://bastiontechnologies.applicantpro.com/jobs/,https://bastiontechnologies.applicantpro.com//jobs/,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
EVONA,Propulsion Roles (Multiple),"Colorado, United States",https://www.linkedin.com/jobs/view/propulsion-roles-multiple-at-evona-4432708542,https://evona.com/,https://evona.com/spacejobs/,https://evona.com/spacejobs/,,partial,opening_match,OPENING_DISCOVERY_INCOMPLETE,opening_match:OPENING_DISCOVERY_INCOMPLETE,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
United Pharma,Mechanical Engineer,"New York, United States",https://www.linkedin.com/jobs/view/mechanical-engineer-at-united-pharma-4435120007,https://unitedpharma.us,https://jobs.smartrecruiters.com/unitedpharma,https://jobs.smartrecruiters.com/unitedpharma,,partial,opening_match,OPENING_NOT_FOUND,opening_match:OPENING_NOT_FOUND,no_visible_external_apply_link,final_exact_not_available,final_exact_not_available,,,,,,,,
Gucci,GUCCI Financial Analyst,"New York, NY",https://www.linkedin.com/jobs/view/gucci-financial-analyst-at-gucci-4432834505,https://careers.gucci.com/,https://careers.gucci.com,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,fetch_failed,candidate_not_produced,candidate_not_produced,,,,,,,,
Michael Kors,Financial Analyst,"New York, NY",https://www.linkedin.com/jobs/view/financial-analyst-at-michael-kors-4432425467,https://michaelkors.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
"Century Communities, Inc. (NYSE:CCS)",Corporate Financial Analyst,"Greenwood Village, CO",https://www.linkedin.com/jobs/view/corporate-financial-analyst-at-century-communities-inc-nyse-ccs-4440349440,https://www.centurycommunities.com,https://www.centurycommunities.com/Careers/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Saint Laurent,SAINT LAURENT Financial Analyst,"Wayne, NJ",https://www.linkedin.com/jobs/view/saint-laurent-financial-analyst-at-saint-laurent-4434898301,https://www.ysl.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Crayola,Sr. Financial Analyst,"Easton, PA",https://www.linkedin.com/jobs/view/sr-financial-analyst-at-crayola-4439457708,https://www.crayola.com,https://www.crayola.com/company/colorful-careers,https://recruiting2.ultipro.com/HAL1009HLLI/JobBoard/2e074503-bbdc-4597-b2d2-775bb304b40d/,,failed,result_validation,RESULT_IDENTITY_MISMATCH,result_validation:RESULT_IDENTITY_MISMATCH,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Actabl,Financial Analyst,United States,https://www.linkedin.com/jobs/view/financial-analyst-at-actabl-4433251930,https://actabl.com/,https://actabl.com/careers/,,,failed,job_board_discovery,COMPANY_TIME_BUDGET_EXHAUSTED,job_board_discovery:COMPANY_TIME_BUDGET_EXHAUSTED,no_visible_external_apply_link,legacy_route_not_evaluated,candidate_not_produced,,,,,,,,
L'OCCITANE Group (B Corp),Senior Financial Analyst (CONTRACT),"New York, NY",https://www.linkedin.com/jobs/view/senior-financial-analyst-contract-at-l-occitane-group-b-corp-4343041480,https://group.loccitane.com,https://careers.loccitane.com/,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
adidas,Financial Analyst,"Portland, OR",https://www.linkedin.com/jobs/view/financial-analyst-at-adidas-4433034488,https://www.adidas-group.com/en/,https://www.adidas-group.com/en/magazine/careers/hybrid-hotel-launching-the-adizero-dropset-pro-on-the-global-stage,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
"Garan, Incorporated",Junior Financial Operations Analyst,"New York, NY",https://www.linkedin.com/jobs/view/junior-financial-operations-analyst-at-garan-incorporated-4440596578,https://www.garanimals.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Instagram,Product Manager,"Menlo Park, CA",https://www.linkedin.com/jobs/view/product-manager-at-instagram-4198546605,https://www.instagram.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"New York, NY",https://www.linkedin.com/jobs/view/product-manager-at-meta-4432210853,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"Menlo Park, CA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4198807083,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"Burlingame, CA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4199409425,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4254370688,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Instagram,Product Manager,"Bellevue, WA",https://www.linkedin.com/jobs/view/product-manager-at-instagram-4197550638,https://www.instagram.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"Menlo Park, CA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4432205983,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"New York, NY",https://www.linkedin.com/jobs/view/product-manager-at-meta-4314986128,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,United States,https://www.linkedin.com/jobs/view/product-manager-at-meta-4254366801,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Great Value Hiring,Product Manager,United States,https://www.linkedin.com/jobs/view/product-manager-at-great-value-hiring-4439862724,https://greatvaluehiring.com,,,,failed,career_discovery,CAREER_PAGE_NOT_FOUND,career_discovery:CAREER_PAGE_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
Meta,Product Manager,"Redmond, WA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4254371627,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager (Leadership),"New York, NY",https://www.linkedin.com/jobs/view/product-manager-leadership-at-meta-4418315263,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Meta,Product Manager,"Bellevue, WA",https://www.linkedin.com/jobs/view/product-manager-at-meta-4297751666,https://www.meta.com/,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobsearch/,,partial,opening_match,PROVIDER_FETCH_FAILED,opening_match:PROVIDER_FETCH_FAILED,no_visible_external_apply_link,candidate_not_produced,final_exact_not_available,,,,,,,,
Steve Madden,Junior Business Intelligence Analyst- Digital,"New York, NY",https://www.linkedin.com/jobs/view/junior-business-intelligence-analyst-digital-at-steve-madden-4432716413,https://www.stevemadden.com/,https://www.stevemadden.com/pages/steve-madden-careers,,,partial,job_board_discovery,JOB_BOARD_NOT_FOUND,job_board_discovery:JOB_BOARD_NOT_FOUND,no_visible_external_apply_link,candidate_not_produced,candidate_not_produced,,,,,,,,
